OTA,Product ID,Activity Title,Main POI,Language,Tour Type,Group size,Meals,Departure City,Departure time,Travel Date,Check Date_Time (GMT+8),Lowest_Price_AID,Price_USD,Price_Destination_Local,Supplier,Package,Rating,Review Count,Order Count,Notes (platform extras),SKU Review
GetYourGuide,430077,"DMZ Insider Tour: Defector Q&A, 3rd Tunnel & Bridge Options",dmz,English,Join,big,,,,2026-04-22,2026-04-21T11:20:20.560Z,https://www.getyourguide.com/seoul-l197/seoul-dmz-3rd-tunnel-and-optional-suspension-bridge-tour-t430077/?ranking_uuid=72f641b4-bd72-4916-bd22-e85072eb1194,50.00,$50.00,PLK Travel Inc.,"DMZ Insider Tour: Defector Q&A, 3rd Tunnel & Bridge Options — DMZ Insider Tour: Defector Q&A, 3rd Tunnel & Bridge Options",4.9,16955,,"screenshot_path=data/screenshots/getyourguide-430077.png; image_count=10; first_image=https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=…; section_titles=(31 items); Language=[English|Japanese]",unverified
GetYourGuide,430077,"DMZ Insider Tour: Defector Q&A, 3rd Tunnel & Bridge Options",dmz,Japanese,Join,big,,,,2026-04-22,2026-04-21T11:20:20.560Z,https://www.getyourguide.com/seoul-l197/seoul-dmz-3rd-tunnel-and-optional-suspension-bridge-tour-t430077/?ranking_uuid=72f641b4-bd72-4916-bd22-e85072eb1194,50.00,$50.00,PLK Travel Inc.,"DMZ Insider Tour: Defector Q&A, 3rd Tunnel & Bridge Options — DMZ Insider Tour: Defector Q&A, 3rd Tunnel & Bridge Options",4.9,16955,,"screenshot_path=data/screenshots/getyourguide-430077.png; image_count=10; first_image=https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=…; section_titles=(31 items); Language=[English|Japanese]",unverified
GetYourGuide,92337,"DMZ: NK Defector, 3rd Tunnel, Suspension Bridge,Hotel Pickup",dmz,English,Join,big,,,,2026-04-22,2026-04-21T11:21:23.896Z,https://www.getyourguide.com/seoul-l197/seoul-dmz-tour-and-north-korean-defector-meet-up-add-on-t92337/?ranking_uuid=72f641b4-bd72-4916-bd22-e85072eb1194,45.00,$45.00,Seoul City Tour,"DMZ: NK Defector, 3rd Tunnel, Suspension Bridge,Hotel Pickup — DMZ: NK Defector, 3rd Tunnel, Suspension Bridge,Hotel Pickup",4.9,2392,,"screenshot_path=data/screenshots/getyourguide-92337.png; image_count=10; first_image=https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=…; section_titles=(34 items); Language=[English|Chinese|Japanese]",unverified
GetYourGuide,92337,"DMZ: NK Defector, 3rd Tunnel, Suspension Bridge,Hotel Pickup",dmz,Chinese,Join,big,,,,2026-04-22,2026-04-21T11:21:23.896Z,https://www.getyourguide.com/seoul-l197/seoul-dmz-tour-and-north-korean-defector-meet-up-add-on-t92337/?ranking_uuid=72f641b4-bd72-4916-bd22-e85072eb1194,45.00,$45.00,Seoul City Tour,"DMZ: NK Defector, 3rd Tunnel, Suspension Bridge,Hotel Pickup — DMZ: NK Defector, 3rd Tunnel, Suspension Bridge,Hotel Pickup",4.9,2392,,"screenshot_path=data/screenshots/getyourguide-92337.png; image_count=10; first_image=https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=…; section_titles=(34 items); Language=[English|Chinese|Japanese]",unverified
GetYourGuide,92337,"DMZ: NK Defector, 3rd Tunnel, Suspension Bridge,Hotel Pickup",dmz,Japanese,Join,big,,,,2026-04-22,2026-04-21T11:21:23.896Z,https://www.getyourguide.com/seoul-l197/seoul-dmz-tour-and-north-korean-defector-meet-up-add-on-t92337/?ranking_uuid=72f641b4-bd72-4916-bd22-e85072eb1194,45.00,$45.00,Seoul City Tour,"DMZ: NK Defector, 3rd Tunnel, Suspension Bridge,Hotel Pickup — DMZ: NK Defector, 3rd Tunnel, Suspension Bridge,Hotel Pickup",4.9,2392,,"screenshot_path=data/screenshots/getyourguide-92337.png; image_count=10; first_image=https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=…; section_titles=(34 items); Language=[English|Chinese|Japanese]",unverified
GetYourGuide,469557,"Seoul: DMZ Guided Tour with N.K.Defector, Gondola, Bridge",dmz,—,Join,big,,Seoul,,2026-04-22,2026-04-21T11:22:07.052Z,https://www.getyourguide.com/seoul-l197/seoul-dmz-guided-tour-with-suspension-bridge-and-gondola-t469557/?ranking_uuid=72f641b4-bd72-4916-bd22-e85072eb1194,49.00,$49.00,Korea Time Tour,"Seoul: DMZ Guided Tour with N.K.Defector, Gondola, Bridge — Seoul: DMZ Guided Tour with N.K.Defector, Gondola, Bridge",4.9,767,,"screenshot_path=data/screenshots/getyourguide-469557.png; image_count=10; first_image=https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=…; section_titles=(33 items)",unverified
GetYourGuide,63309,Seoul: DMZ The 3rd Tunnel and Suspension Bridge Tour,dmz,—,Join,big,,Seoul,,2026-04-22,2026-04-21T11:20:35.207Z,https://www.getyourguide.com/seoul-l197/seoul-dmz-the-3rd-tunnel-and-suspension-bridge-tour-t63309/?ranking_uuid=72f641b4-bd72-4916-bd22-e85072eb1194,65.00,$65.00,"I LOVE SEOUL TOUR Co., Ltd.",Seoul: DMZ The 3rd Tunnel and Suspension Bridge Tour — Seoul: DMZ The 3rd Tunnel and Suspension Bridge Tour,4.9,5735,,"screenshot_path=data/screenshots/getyourguide-63309.png; image_count=10; first_image=https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=…; section_titles=(32 items)",unverified
GetYourGuide,63099,Seoul: DMZ Tour & UN-Recognized NK Human Rights Center(Opt),dmz,English,Join,big,,Seoul,1:30,2026-04-22,2026-04-21T11:20:52.239Z,https://www.getyourguide.com/seoul-l197/seoul-dmz-tour-with-optional-suspension-bridge-t63099/?ranking_uuid=72f641b4-bd72-4916-bd22-e85072eb1194,45.00,$45.00,"I LOVE SEOUL TOUR Co., Ltd.",Seoul: DMZ Tour & UN-Recognized NK Human Rights Center(Opt) — Seoul: DMZ Tour & UN-Recognized NK Human Rights Center(Opt),4.9,5427,,"screenshot_path=data/screenshots/getyourguide-63099.png; image_count=10; first_image=https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=…; section_titles=(33 items); Language=[English|Japanese|Chinese]",unverified
GetYourGuide,63099,Seoul: DMZ Tour & UN-Recognized NK Human Rights Center(Opt),dmz,Japanese,Join,big,,Seoul,1:30,2026-04-22,2026-04-21T11:20:52.239Z,https://www.getyourguide.com/seoul-l197/seoul-dmz-tour-with-optional-suspension-bridge-t63099/?ranking_uuid=72f641b4-bd72-4916-bd22-e85072eb1194,45.00,$45.00,"I LOVE SEOUL TOUR Co., Ltd.",Seoul: DMZ Tour & UN-Recognized NK Human Rights Center(Opt) — Seoul: DMZ Tour & UN-Recognized NK Human Rights Center(Opt),4.9,5427,,"screenshot_path=data/screenshots/getyourguide-63099.png; image_count=10; first_image=https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=…; section_titles=(33 items); Language=[English|Japanese|Chinese]",unverified
GetYourGuide,63099,Seoul: DMZ Tour & UN-Recognized NK Human Rights Center(Opt),dmz,Chinese,Join,big,,Seoul,1:30,2026-04-22,2026-04-21T11:20:52.239Z,https://www.getyourguide.com/seoul-l197/seoul-dmz-tour-with-optional-suspension-bridge-t63099/?ranking_uuid=72f641b4-bd72-4916-bd22-e85072eb1194,45.00,$45.00,"I LOVE SEOUL TOUR Co., Ltd.",Seoul: DMZ Tour & UN-Recognized NK Human Rights Center(Opt) — Seoul: DMZ Tour & UN-Recognized NK Human Rights Center(Opt),4.9,5427,,"screenshot_path=data/screenshots/getyourguide-63099.png; image_count=10; first_image=https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=…; section_titles=(33 items); Language=[English|Japanese|Chinese]",unverified
