OTA,Main POI,Language,Tour Type,Group size,Meals,Departure City,"Depature time_
(+-30 mins)
Destination_Timezone",Check Date_Time (GMT+8),,Lowest_Price_AID,Price_USD,Price_Destination_Local,,
Klook,Mount Fuji,English,Private,-,No,Tokyo,7:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/182486,48.8,"¥7,800",,- listing page <> aid page crawler
Klook,Mount Fuji,Chinese,Private,-,No,Tokyo,7:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/182486,48.8,"¥7,800",,
Klook,Mount Fuji,English,Join,small,No,Tokyo,7:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/183273,50.75,"¥7,800",,
Klook,Mount Fuji,Korean,Join,small,No,Tokyo,7:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/134125,50.79,"¥7,800",,
Klook,Mount Fuji,Chinese,Join,small,No,Tokyo,7:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/183273,50.75,"¥7,800",,
Klook,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Korean,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,English,Join,big,Yes,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/131587,73.2,"¥11,700",,
Klook,Mount Fuji,Chinese,Join,big,Yes,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/131587,73.2,"¥11,700",,
Klook,Mount Fuji,Korean,Join,big,Yes,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/131587,73.2,"¥11,700",,
Klook,Mount Fuji,Japanese,Join,big,Yes,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/131587,73.2,"¥11,700",,
Klook,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Korean,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Japanese,Join,big,No,Tokyo,8:00 AM,2026-03-31 18:50,,https://www.klook.com/en-US/activity/134125,50.79,"¥7,800",,
Klook,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Korean,Join,big,No,Tokyo,8:00 AM,,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Japanese,Join,big,No,Tokyo,8:00 AM,,,https://www.klook.com/en-US/activity/134125,50.79,"¥7,800",,
Klook,Mount Fuji,English,Private,-,No,Tokyo,7:00 AM,,,https://www.klook.com/en-US/activity/182486,48.8,"¥7,800",,
Klook,Mount Fuji,Chinese,Private,-,No,Tokyo,7:00 AM,,,https://www.klook.com/en-US/activity/182486,48.8,"¥7,800",,
Klook,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Korean,Join,big,No,Tokyo,7:30 AM,,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,English,Join,big,No,Tokyo,7:30 AM,,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
Klook,Mount Fuji,Chinese,Join,big,No,Tokyo,7:30 AM,,,https://www.klook.com/en-US/activity/151477,48.25,"¥7,800",,
KKday,Mount Fuji,Chinese,Join,big,Yes,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,Japanese,Join,big,Yes,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,English,Join,big,Yes,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,Chinese,Join,big,No,Tokyo,9:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,Japanese,Join,big,No,Tokyo,9:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,English,Join,big,No,Tokyo,9:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,Japanese,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,English,Private,-,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,Chinese,Private,-,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,Cantonese,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,English,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,Chinese,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,Japanese,Join,big,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,Korean,Join,big,No,Tokyo,8:00 AM,,,No match found,,,,
KKday,Mount Fuji,English,Join,small,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,Chinese,Join,small,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
KKday,Mount Fuji,Japanese,Join,small,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,English,Private,-,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/10999,48.83,"¥7,797",,
KKday,Mount Fuji,Chinese,Private,-,No,Tokyo,8:00 AM,,,https://www.kkday.com/en/product/12319,45.07,"¥7,197",,
Klook,Kiyomizu Temple,English,Private,-,No,Osaka / Kyoto,7:00 AM,,,https://www.klook.com/en-US/activity/95171,585.65,"¥90,000",,
Klook,Kiyomizu Temple,Chinese,Private,-,No,Osaka / Kyoto,7:00 AM,,,No match found,,,,
Klook,Kiyomizu Temple,English,Join,small,No,Osaka / Kyoto,7:00 AM,,,https://www.klook.com/en-US/activity/159431,65.99,"¥10,143",,
Klook,Kiyomizu Temple,Korean,Join,small,No,Osaka / Kyoto,7:00 AM,,,No match found,,,,
Klook,Kiyomizu Temple,Chinese,Join,small,No,Osaka / Kyoto,7:00 AM,,,https://www.klook.com/en-US/activity/159431,65.99,"¥10,143",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Korean,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/633,159.55,"¥25,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,No match found,,,,
Klook,Kiyomizu Temple,Korean,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,No match found,,,,
Klook,Kiyomizu Temple,Japanese,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/633,159.55,"¥25,500",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Korean,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Japanese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Korean,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Japanese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Private,-,No,Osaka / Kyoto,7:00 AM,,,https://www.klook.com/en-US/activity/95171,585.65,"¥90,000",,
Klook,Kiyomizu Temple,Chinese,Private,-,No,Osaka / Kyoto,7:00 AM,,,No match found,,,,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Korean,Join,big,No,Osaka / Kyoto,7:30 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,7:30 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,7:30 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
KKday,Kiyomizu Temple,Chinese,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/4073,75.12,"¥11,995",,
KKday,Kiyomizu Temple,Japanese,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/4073,75.12,"¥11,995",,
KKday,Kiyomizu Temple,English,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/4073,75.12,"¥11,995",,
KKday,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,9:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
